asins,n_reviews,categories,brand,mean_rating,cluster,cluster_name,rankable,name
B01J4ORNHU,16,"Kindle Store,Categories,eBook Readers & Accessories,Fire TV Accessories,Electronics,Power Adapters & Cables,Amazon Device Accessories,Power Adapters",Amazon,4.5,1,Accessories & Cables,True,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black"
B01J2G4VBG,401,"Amazon Devices & Accessories,Amazon Device Accessories,Power Adapters & Cables,Kindle Store,Kindle E-Reader Accessories,Kindle Paperwhite Accessories",Amazon,4.438902743142145,1,Accessories & Cables,True,"Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,
Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,"
B00QFQRELG,73,"Chargers & Adapters,Computers & Accessories,Tablet & E-Reader Accessories,Amazon Devices & Accessories,Fire Tablet Accessories,Electronics,Power Adapters & Cables,Cell Phones,Amazon Device Accessories,Cell Phone Accessories,Cell Phone Batteries & Power,Tablet Accessories,Featured Brands,Kindle Fire (2nd Generation) Accessories,Kindle Store,Home Improvement,Fire (5th Generation) Accessories,Electrical,Amazon Devices,Home,Tablets & E-Readers,Cables & Chargers",Amazon,4.205479452054795,1,Accessories & Cables,True,Amazon
B00U3FPN4U,5056,"Back To College,College Electronics,College Tvs & Home Theater,Electronics,Tvs & Home Theater,Streaming Devices,Featured Brands,Amazon Devices,Holiday Shop,Ways To Shop,TV & Home Theater,Streaming Media Players,All Streaming Media Players,TVs Entertainment,Video Games,Kindle Store,Electronics Features,Kids & Family,Fire TV",Amazon Fire Tv,4.707278481012659,2,"Echo, Fire TV & Smart Home",True,Amazon Fire Tv
"B00L9EPT8O,B01E6AO69U",6619,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop",Amazon,4.671098353225563,2,"Echo, Fire TV & Smart Home",True,"Echo (White),,,
Echo (White),,,"
B00QJDU3KY,15,"mazon.co.uk,Amazon Devices",Amazon,4.666666666666667,2,"Echo, Fire TV & Smart Home",True,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black"
B01BFIBRIE,30,"Electronics,iPad & Tablets,All Tablets,Computers & Tablets,Tablets,eBook Readers",Amazon,4.6,0,Fire Tablets,True,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black"
B01AHB9CYG,158,"Tablets,Fire Tablets,Electronics,Computers,Computer Components,Hard Drives & Storage,Computers & Tablets,All Tablets",Amazon,4.5886075949367084,0,Fire Tablets,True,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta"
B01AHB9CN2,2814,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Amazon,4.586709310589908,0,Fire Tablets,True,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
B00IOYAM4I,51,"Computers & Tablets,E-Readers & Accessories,eBook Readers,Kindle E-readers",Amazon,4.862745098039215,3,Kindle E-Readers,True,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,"
B00OQVZDJM,3176,"Walmart for Business,Office Electronics,Tablets,Office,Electronics,iPad & Tablets,Windows Tablets,All Windows Tablets,Computers & Tablets,E-Readers & Accessories,E-Readers,eBook Readers,Kindle E-readers,Computers/Tablets & Networking,Tablets & eBook Readers,Electronics Features,Books & Magazines,Book Accessories,eReaders,TVs & Electronics,Computers & Laptops,Tablets & eReaders",Amazon,4.772355163727959,3,Kindle E-Readers,True,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,"
B00IOY8XWQ,580,"Walmart for Business,Office Electronics,Tablets,Electronics,iPad & Tablets,All Tablets,Computers & Tablets,E-Readers & Accessories,Kindle E-readers,Electronics Features,eBook Readers,See more Amazon Kindle Voyage (Wi-Fi),See more Amazon Kindle Voyage 4GB, Wi-Fi  3G (Unlocked...",Amazon,4.729310344827586,3,Kindle E-Readers,True,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,"
